2012-06-11 14:44:53 status unpacked dash 0.5.5.1-7.4
2012-06-11 14:44:53 status unpacked dash 0.5.5.1-7.4
2012-06-11 14:44:53 install libdb4.8 <none> 4.8.30-2
2012-06-11 14:44:53 status half-installed libdb4.8 4.8.30-2
2012-06-11 14:44:53 status unpacked libdb4.8 4.8.30-2
2012-06-11 14:44:53 status unpacked libdb4.8 4.8.30-2
2012-06-11 14:44:53 install debconf-i18n <none> 1.5.36.1
2012-06-11 14:44:53 status half-installed debconf-i18n 1.5.36.1
2012-06-11 14:44:53 status unpacked debconf-i18n 1.5.36.1
2012-06-11 14:44:53 status unpacked debconf-i18n 1.5.36.1
2012-06-11 14:44:53 install debconf <none> 1.5.36.1
2012-06-11 14:44:53 status half-installed debconf 1.5.36.1
2012-06-11 14:44:54 status unpacked debconf 1.5.36.1
2012-06-11 14:44:54 status unpacked debconf 1.5.36.1
2012-06-11 14:44:54 install debianutils <none> 3.4
2012-06-11 14:44:54 status half-installed debianutils 3.4
2012-06-11 14:44:54 status unpacked debianutils 3.4
2012-06-11 14:44:54 status unpacked debianutils 3.4
2012-06-11 14:44:54 install diffutils <none> 1:3.0-1
2012-06-11 14:44:54 status half-installed diffutils 1:3.0-1
2012-06-11 14:44:54 status unpacked diffutils 1:3.0-1
2012-06-11 14:44:54 status unpacked diffutils 1:3.0-1
2012-06-11 14:44:54 upgrade dpkg 1.15.8.12 1.15.8.12
2012-06-11 14:44:54 status half-configured dpkg 1.15.8.12
2012-06-11 14:44:54 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:54 status half-installed dpkg 1.15.8.12
2012-06-11 14:44:54 status half-installed dpkg 1.15.8.12
2012-06-11 14:44:54 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:54 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:54 install e2fslibs <none> 1.41.12-4stable1
2012-06-11 14:44:54 status half-installed e2fslibs 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked e2fslibs 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked e2fslibs 1.41.12-4stable1
2012-06-11 14:44:54 install e2fsprogs <none> 1.41.12-4stable1
2012-06-11 14:44:54 status half-installed e2fsprogs 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked e2fsprogs 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked e2fsprogs 1.41.12-4stable1
2012-06-11 14:44:54 install libcomerr2 <none> 1.41.12-4stable1
2012-06-11 14:44:54 status half-installed libcomerr2 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked libcomerr2 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked libcomerr2 1.41.12-4stable1
2012-06-11 14:44:54 install libss2 <none> 1.41.12-4stable1
2012-06-11 14:44:54 status half-installed libss2 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked libss2 1.41.12-4stable1
2012-06-11 14:44:54 status unpacked libss2 1.41.12-4stable1
2012-06-11 14:44:54 install libc-bin <none> 2.11.3-3
2012-06-11 14:44:54 status half-installed libc-bin 2.11.3-3
2012-06-11 14:44:55 status unpacked libc-bin 2.11.3-3
2012-06-11 14:44:55 status unpacked libc-bin 2.11.3-3
2012-06-11 14:44:55 upgrade libc6 2.11.3-3 2.11.3-3
2012-06-11 14:44:55 status half-configured libc6 2.11.3-3
2012-06-11 14:44:55 status unpacked libc6 2.11.3-3
2012-06-11 14:44:55 status half-installed libc6 2.11.3-3
2012-06-11 14:44:55 status half-installed libc6 2.11.3-3
2012-06-11 14:44:56 status unpacked libc6 2.11.3-3
2012-06-11 14:44:56 status unpacked libc6 2.11.3-3
2012-06-11 14:44:56 install findutils <none> 4.4.2-1+b1
2012-06-11 14:44:56 status half-installed findutils 4.4.2-1+b1
2012-06-11 14:44:56 status unpacked findutils 4.4.2-1+b1
2012-06-11 14:44:56 status unpacked findutils 4.4.2-1+b1
2012-06-11 14:44:56 install gcc-4.4-base <none> 4.4.5-8
2012-06-11 14:44:56 status half-installed gcc-4.4-base 4.4.5-8
2012-06-11 14:44:56 status unpacked gcc-4.4-base 4.4.5-8
2012-06-11 14:44:56 status unpacked gcc-4.4-base 4.4.5-8
2012-06-11 14:44:56 install libgcc1 <none> 1:4.4.5-8
2012-06-11 14:44:56 status half-installed libgcc1 1:4.4.5-8
2012-06-11 14:44:56 status unpacked libgcc1 1:4.4.5-8
2012-06-11 14:44:56 status unpacked libgcc1 1:4.4.5-8
2012-06-11 14:44:56 install libstdc++6 <none> 4.4.5-8
2012-06-11 14:44:56 status half-installed libstdc++6 4.4.5-8
2012-06-11 14:44:56 status unpacked libstdc++6 4.4.5-8
2012-06-11 14:44:56 status unpacked libstdc++6 4.4.5-8
